"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\documentCard\DocumentCard.jsx", "JavaScript JSX", 0, 0, 0, 408, 0, 13, 38, 459
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\foldersCard\FoldersCard.jsx", "JavaScript JSX", 0, 0, 0, 120, 0, 1, 17, 138
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\hoverCard.module.css", "CSS", 0, 0, 0, 0, 51, 3, 7, 61
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\processCard\ProcessCard.jsx", "JavaScript JSX", 0, 0, 0, 258, 0, 13, 44, 315
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\styledComponents.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\templateCard\TemplateCard.jsx", "JavaScript JSX", 0, 0, 0, 262, 0, 0, 23, 285
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\workflowCard\WorkflowCard.jsx", "JavaScript JSX", 0, 0, 0, 271, 0, 1, 16, 288
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\workflowCard\workflowCard.module.css", "CSS", 0, 0, 0, 0, 54, 1, 11, 66
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\iFrame\Iframe.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\infoBox\InfoBox.jsx", "JavaScript JSX", 0, 0, 0, 540, 0, 12, 31, 583
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\infoBox\TypeFilter.jsx", "JavaScript JSX", 0, 0, 0, 171, 0, 4, 18, 193
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\infoBox\infoBox.module.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\infoBox\styledComponents.js", "JavaScript", 87, 0, 0, 0, 0, 8, 9, 104
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\infoBox\typefilter.css", "CSS", 0, 0, 0, 0, 64, 0, 13, 77
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\landingPage\customerSupport\CustomerSupport.jsx", "JavaScript JSX", 0, 0, 0, 88, 0, 0, 6, 94
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\landingPage\customerSupport\customerSupport.module.css", "CSS", 0, 0, 0, 0, 133, 17, 19, 169
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\landingPage\customerSupport\swiper.css", "CSS", 0, 0, 0, 0, 17, 0, 4, 21
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\landingPage\handleTasks\HandleTasks.jsx", "JavaScript JSX", 0, 0, 0, 170, 0, 3, 15, 188
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\landingPage\handleTasks\handleTasks.module.css", "CSS", 0, 0, 0, 0, 71, 0, 15, 86
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\ManageFiles.jsx", "JavaScript JSX", 0, 0, 0, 61, 0, 12, 6, 79
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\ProcessDetail\ProcessDetail.js", "JavaScript", 140, 0, 0, 0, 0, 9, 21, 170
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\ProcessDetail\ProcessDetail.module.css", "CSS", 0, 0, 0, 0, 192, 2, 28, 222
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\documents\createDocument\CreateDocument.jsx", "JavaScript JSX", 0, 0, 0, 151, 0, 3, 20, 174
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\documents\createDocument\createDocument.module.css", "CSS", 0, 0, 0, 0, 106, 11, 14, 131
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\workflows\createWorkflows\CreateWorkflow.jsx", "JavaScript JSX", 0, 0, 0, 255, 0, 1, 31, 287
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\workflows\createWorkflows\createWorkflow.module.css", "CSS", 0, 0, 0, 0, 51, 51, 11, 113
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\workflows\createWorkflows\stepTable\StepTable.jsx", "JavaScript JSX", 0, 0, 0, 70, 0, 0, 5, 75
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\workflows\createWorkflows\stepTable\stepTable.module.css", "CSS", 0, 0, 0, 0, 58, 0, 8, 66
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\manageFiles.module.css", "CSS", 0, 0, 0, 0, 76, 1, 10, 87
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\overlay\Overlay.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 4, 25
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\overlay\overlay.module.css", "CSS", 0, 0, 0, 0, 77, 2, 14, 93
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\sectionBox\SectionBox.jsx", "JavaScript JSX", 0, 0, 0, 493, 0, 16, 31, 540
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\sectionBox\sectionBox.module.css", "CSS", 0, 0, 0, 0, 41, 9, 9, 59
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\modal\EditTeamModal.jsx", "JavaScript JSX", 0, 0, 0, 273, 0, 8, 22, 303
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\modal\NameChangeModal.jsx", "JavaScript JSX", 0, 0, 0, 45, 0, 0, 5, 50
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\modal\TeamModal.jsx", "JavaScript JSX", 0, 0, 0, 117, 0, 1, 21, 139
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\modal\editTeamModal.css", "CSS", 0, 0, 0, 0, 146, 2, 23, 171
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\modal\nameChangeModal.css", "CSS", 0, 0, 0, 0, 65, 0, 10, 75
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 377, 0, 60, 29, 466
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\collapseItem\CollapseItem.jsx", "JavaScript JSX", 0, 0, 0, 177, 0, 0, 14, 191
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\collapseItem\collapseItem.module.css", "CSS", 0, 0, 0, 0, 46, 0, 9, 55
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\footer\Footer.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\footer\footer.module.css", "CSS", 0, 0, 0, 0, 35, 0, 7, 42
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\manageFile\ManageFile.jsx", "JavaScript JSX", 0, 0, 0, 291, 0, 44, 18, 353
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\manageFile\ProcessDetailModal\ProcessDetailModail.jsx", "JavaScript JSX", 0, 0, 0, 113, 0, 0, 7, 120
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\manageFile\ProcessDetailModal\ProcessDetailModal.css", "CSS", 0, 0, 0, 0, 45, 0, 8, 53
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\manageFile\manageFile.module.css", "CSS", 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\new\New.jsx", "JavaScript JSX", 0, 0, 0, 116, 0, 1, 11, 128
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\new\new.module.css", "CSS", 0, 0, 0, 0, 50, 0, 8, 58
